"filename", "language", "TypeScript JSX", "Makefile", "TypeScript", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "XML", "comment", "blank", "total"
"/Users/kuben/projects/surge/surgelight/src/components/analytics/types/video.types.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/kuben/projects/surge/surgelight/src/components/common/theme-provider.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/kuben/projects/surge/surgelight/src/components/common/theme-switcher.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/kuben/projects/surge/surgelight/src/components/icons/InstagramIcon.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/kuben/projects/surge/surgelight/src/components/icons/TikTokIcon.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/kuben/projects/surge/surgelight/src/components/icons/YouTubeIcon.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/kuben/projects/surge/surgelight/src/components/icons/index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/kuben/projects/surge/surgelight/src/components/ui/accordion.tsx", "TypeScript JSX", 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/Users/kuben/projects/surge/surgelight/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 158
"/Users/kuben/projects/surge/surgelight/src/components/ui/alert.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/Users/kuben/projects/surge/surgelight/src/components/ui/aspect-ratio.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/kuben/projects/surge/surgelight/src/components/ui/avatar.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/kuben/projects/surge/surgelight/src/components/ui/badge.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/kuben/projects/surge/surgelight/src/components/ui/breadcrumb.tsx", "TypeScript JSX", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 110
"/Users/kuben/projects/surge/surgelight/src/components/ui/button.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/kuben/projects/surge/surgelight/src/components/ui/calendar.tsx", "TypeScript JSX", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 214
"/Users/kuben/projects/surge/surgelight/src/components/ui/card.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 93
"/Users/kuben/projects/surge/surgelight/src/components/ui/carousel.tsx", "TypeScript JSX", 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 242
"/Users/kuben/projects/surge/surgelight/src/components/ui/chart.tsx", "TypeScript JSX", 315, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37, 354
"/Users/kuben/projects/surge/surgelight/src/components/ui/checkbox.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/kuben/projects/surge/surgelight/src/components/ui/collapsible.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/kuben/projects/surge/surgelight/src/components/ui/command.tsx", "TypeScript JSX", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 185
"/Users/kuben/projects/surge/surgelight/src/components/ui/context-menu.tsx", "TypeScript JSX", 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 253
"/Users/kuben/projects/surge/surgelight/src/components/ui/dialog.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 144
"/Users/kuben/projects/surge/surgelight/src/components/ui/drawer.tsx", "TypeScript JSX", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 136
"/Users/kuben/projects/surge/surgelight/src/components/ui/dropdown-menu.tsx", "TypeScript JSX", 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 258
"/Users/kuben/projects/surge/surgelight/src/components/ui/form.tsx", "TypeScript JSX", 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 168
"/Users/kuben/projects/surge/surgelight/src/components/ui/hover-card.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/Users/kuben/projects/surge/surgelight/src/components/ui/input-otp.tsx", "TypeScript JSX", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 78
"/Users/kuben/projects/surge/surgelight/src/components/ui/input.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/kuben/projects/surge/surgelight/src/components/ui/label.tsx", "TypeScript JSX", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/kuben/projects/surge/surgelight/src/components/ui/menubar.tsx", "TypeScript JSX", 257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 277
"/Users/kuben/projects/surge/surgelight/src/components/ui/navigation-menu.tsx", "TypeScript JSX", 157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 169
"/Users/kuben/projects/surge/surgelight/src/components/ui/pagination.tsx", "TypeScript JSX", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 128
