"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "CSS", "JSON", "Markdown", "Makefile", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/kuben/projects/surge/surgelight/src/components/loaders/InlineLoader.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/kuben/projects/surge/surgelight/src/components/loaders/LoadingAnimation.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 0, 5, 6, 85
"/Users/kuben/projects/surge/surgelight/src/components/loaders/PageLoader.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/kuben/projects/surge/surgelight/src/components/loaders/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/kuben/projects/surge/surgelight/src/components/ui/accordion.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"/Users/kuben/projects/surge/surgelight/src/components/ui/alert-dialog.tsx", "TypeScript JSX", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 15, 158
"/Users/kuben/projects/surge/surgelight/src/components/ui/alert.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 7, 67
"/Users/kuben/projects/surge/surgelight/src/components/ui/aspect-ratio.tsx", "TypeScript JSX", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/kuben/projects/surge/surgelight/src/components/ui/avatar.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/kuben/projects/surge/surgelight/src/components/ui/badge.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/kuben/projects/surge/surgelight/src/components/ui/breadcrumb.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 11, 110
"/Users/kuben/projects/surge/surgelight/src/components/ui/button.tsx", "TypeScript JSX", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/kuben/projects/surge/surgelight/src/components/ui/calendar.tsx", "TypeScript JSX", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 11, 214
"/Users/kuben/projects/surge/surgelight/src/components/ui/card.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 10, 93
"/Users/kuben/projects/surge/surgelight/src/components/ui/carousel.tsx", "TypeScript JSX", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 28, 242
"/Users/kuben/projects/surge/surgelight/src/components/ui/chart.tsx", "TypeScript JSX", 0, 315, 0, 0, 0, 0, 0, 0, 0, 2, 37, 354
"/Users/kuben/projects/surge/surgelight/src/components/ui/checkbox.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/kuben/projects/surge/surgelight/src/components/ui/collapsible.tsx", "TypeScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/kuben/projects/surge/surgelight/src/components/ui/command.tsx", "TypeScript JSX", 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 13, 185
"/Users/kuben/projects/surge/surgelight/src/components/ui/context-menu.tsx", "TypeScript JSX", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 19, 253
